name,Lat,Longitude,Height,Description
Kirosalemayo,13.9643083,39.59638,2,9 to 10
Tsigereda,13.7802567,39.3552283,2,9 to 12
Negash,13.889905,39.60228,2,9 to 10
Agulae,13.69535,39.5816933,2,9 to 12
Agazi Sr.,14.2759356,39.4688115,2,9 to 10
Tsinseta Sr.,14.2784467,39.4674433,2,9 to 12
Yalem Berhan,14.2730196,39.468488,2,9 to 10
Finote Brhan,14.2809325,39.4600758,2,9 to 10
Agazi Mesendeo,14.2732539,39.4688115,2,11 to 12
bethntset secondery school,14.2721883,39.4448767,2,9 to 10
waku,14.3022019,39.4655762,2,9 to 10
Wukro Sr.,13.7867122,39.5955029,2,9 to 12
Wukro Preparatory 11-12,13.7873637,39.5964513,2,11 to 12
Megabit 30 Sec.,13.7995767,39.601075,2,9 to 10
Bett hintset,13.797155,39.60312,2,9 to 10
Magic-Carpet,13.478325,39.4596433,2,9 to 12
Kaleb Academy,13.4853779,39.4532805,2,9 to 12
Adi-haki,13.4785822,39.4516625,2,9 to 12
Ayder Secondary,13.5108,39.4691,2,11 to 12
Lekatit23,13.5077157,39.4587815,2,9 to 10
Hintset Secondary,13.5474527,39.4481982,2,9 to 10
Adiha secondary,13.5236,39.4499,2,9 to 10
Sheba Academy,13.4792265,39.4688115,2,9 to 12
Aba G/micheal,13.4822083,39.4623407,2,9 to 12
Kalamino,13.4530532,39.4633114,2,9 to 12
Nejasni Ethlo-turkish,13.4774444,39.46261,2,9 to 12
Hadnet Scondery,13.4738145,39.4613701,2,9 to 10
Daero,13.5213,39.4456,2,9 to 10
Hawelti,13.4971693,39.4629879,2,9 to 10
Nikolas.,13.5069,39.4598,2,9 to 10
Smret merhatibeb.,13.5053,39.4578,2,9 to 10
Nazrawi,13.5049,39.4578,2,9 to 10
Mercy,13.514,39.4536,2,9 to 12
Momona,13.4892767,39.4545749,2,9 to 10
W/ngus secondery mesenadeo,13.4946035,39.5565657,2,9 to 12
SOS Herman Gmeyner,13.5167,39.4931,2,9 to 10
Alene Secondary School,13.5005,39.4818,2,9 to 10
Atseyohannse,13.4866,39.4766,2,11 to 12
Q/weyane Se,13.5024,39.4682,2,9 to 10
KesateBirhan,13.4888,39.4649,2,9 to 10
Qafta,13.90278314,37.1412315,2,9 to 12
Maikadira,14.0806361,36.5704253,2,9 to 12
Meles Zenawi,13.9786856,36.8551326,2,9 to 12
Adebay,14.196005,36.7710782,2,9 to 10
Deres Gebremedihin,14.169335,37.3160233,2,9 to 10
May weini,14.0923045,37.2194148,2,9 to 10
Gidey Deftera,13.6417617,36.86095,2,9 to 12
Ketema Nigus,13.39475,37.4015839,2,9 to 12
Dansha,13.5682451,36.9703939,2,9 to 10
Adi-Selam,13.498438,37.631702,2,9 to 10
Dansha priparatory,13.5576034,36.9757661,2,11 to 12
Hilab,13.5312617,37.1303683,2,9 to 10
Getachew Azenaw (Adi Remets Sr,13.7572503,37.3238566,2,9 to 10
Mai-Gaba,13.7837614,37.6934809,2,9 to 12
Awra,13.6279583,37.2760517,2,9 to 10
Tslelo SS,13.5807797,37.4611839,2,9 to 10
Getachew Azenaw Mesenado,13.7507419,37.3220463,2,11 to 12
korarit,13.8429904,37.5120243,2,9 to 10
Humera,14.2733359,36.6174652,2,9 to 10
HUMERA -MESENADIO,14.2770036,36.6153815,2,11 to 12
Romanat,13.5876833,39.4243983,2,9 to 10
Mere-Mieity,13.3670017,39.5359233,2,9 to 12
Aragure,13.5059017,39.6848983,2,9 to 10
May Mekden,13.5796267,39.562605,2,9 to 10
Adi Dqi Agera,13.4897318,39.4283581,2,9 to 10
EsraAdiwejerat,13.2545241,39.4677483,2,9 to 12
Adigudom Mesnadeo,13.2473286,39.5189373,2,11 to 12
Dengolat S.S,13.1001893,39.4890875,2,9 to 12
Mesmerweyane SS,13.1356717,39.4979217,2,9 to 12
samre J/scool,13.1058233,39.0225183,2,9 to 10
Gijet,13.3182517,39.1717983,2,9 to 10
Gjet Mesenado,13.3170117,39.1724,2,11 to 12
Samre new,13.1974283,39.2128333,2,9 to 10
Samre new2,13.20094,39.2123633,2,11 to 12
Hagere Selam,13.6375697,39.1741201,2,9 to 10
Alula mesenado,13.6342731,39.1746946,2,11 to 12
Endamaryam secondary,13.5855324,39.1224754,2,9 to 10
Tikul secondery,13.6432569,39.3261266,2,9 to 10
Logia Secondary School,11.7262,40.9864,2,9_12
Melka Werer,9.3285278,40.1803802,2,9 to 12
SIDIHAFAGE,9.2375731,40.1411468,2,9 to 10
areba,9.1331633,40.1685866,2,9 to 10
Yenegew Tesfa,9.1234066,40.17085,2,9 to 12
Seadadin,9.50764,39.8713,2,9_12
Nemilefen,9.005847,40.1670284,2,9 to 12
Gewane,10.1685,40.6481,2,9_12
KELWAN,12.1443,39.9826,2,9_12
Yallo 2ry school,12.3989,39.8806,2,9_12
